"address","categories/0","categories/1","categories/2","categories/3","categoryName","city","countryCode","isAdvertisement","location/lat","location/lng","neighborhood","placeId","postalCode","rank","reviewsCount","searchPageLoadedUrl","searchPageUrl","searchString","state","street","title","totalScore","url"
"361, R. 18-A, 91 - St. Aeroporto, Goiânia - GO, 74070-060, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6722726","-49.2682195","361, R. 18-A, 91","ChIJzUeiTeHzXpMRmIbxL3xNpn0","74070-060","1","664","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","GO","361, R. 18-A, 91","Restaurante Bom LaPetiti","4.5","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJzUeiTeHzXpMRmIbxL3xNpn0"
"GO-010 - Vila Matinha, Sen. Canedo - GO, 75256-830, Brasil",,,,,,"Sen. Canedo","BR","false","-16.6177716","-49.1097688","GO-010","ChIJ_ymFer_rXpMRo2dG4elSk70","75256-830","1","29","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","Goiás","GO-010","Restaurante Carro de Pau","4.4","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJ_ymFer_rXpMRo2dG4elSk70"
"GO-010, KM 11 - Goiânia, GO, 75256-830, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6183647","-49.1157911","GO-010, KM 11","ChIJ65OrvM3rXpMROjnG-iM45t0","75256-830","3","12","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","Goiás","GO-010, KM 11","Centro de Lazer Pereirão","4.8","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJ65OrvM3rXpMROjnG-iM45t0"
"Rua 72, Quadra 128 524 - St. Central, Goiânia - GO, 74045-120, Brasil","Restaurante self-service","Restaurante",,,"Restaurante self-service","Goiânia","BR","false","-16.6665332","-49.2616702","Rua 72, Quadra 128 524","ChIJNxxdJN3zXpMRv6uO7VsJs9g","74045-120","2","2246","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","GO","Rua 72, Quadra 128 524","Restaurante Popular","4.6","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJNxxdJN3zXpMRv6uO7VsJs9g"
"Vila Matinha, Sen. Canedo - GO, Brasil","Restaurante",,,,"Restaurante","Sen. Canedo","BR","false","-16.6367478","-49.1386945",,"ChIJaf2t3xnsXpMRE6zck9EsPfg",,"4","0","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","Goiás",,"LANCHONETE GO 010",,"https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJaf2t3xnsXpMRE6zck9EsPfg"
"Rua 44, Q 160, 0 - Setor Norte Ferroviário, Goiânia - GO, 74063-300, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6593357","-49.2577403","Rua 44, Q 160, 0","ChIJ-xzvvMbzXpMR-ftSi5QG0sQ","74063-300","3","149","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","GO","Rua 44, Q 160, 0","Restaurante 44","4.3","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJ-xzvvMbzXpMR-ftSi5QG0sQ"
"Vila Matinha, Sen. Canedo - GO, Brasil","Restaurante",,,,"Restaurante","Sen. Canedo","BR","false","-16.6367785","-49.1386796",,"ChIJWTpM3hnsXpMRJ9ki-e8Qib4",,"5","0","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","Goiás",,"LANCHONETE GO 010",,"https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJWTpM3hnsXpMRJ9ki-e8Qib4"
"Av. Paranaíba, 100 - St. Central, Goiânia - GO, 74580-365, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6716711","-49.2512378","Av. Paranaíba, 100","ChIJg6MaBtHzXpMRKeo1u120CaM","74580-365","4","0","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","Av. Paranaíba, 100","Restaurante",,"https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJg6MaBtHzXpMRKeo1u120CaM"
"av Dom Serafim gomes Q33 L15 - Santo Hilario, GO, 74781-005, Brasil","Restaurante self-service","Restaurante brasileiro","Restaurante",,"Restaurante self-service","Goiânia","BR","false","-16.6475197","-49.1896933","av Dom Serafim gomes Q33 L15","ChIJL0Mzbe_tXpMRJ-EbRTsAnNQ","74781-005","11","472","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","GO","av Dom Serafim gomes Q33 L15","Gonçalves Restaurante","4.4","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJL0Mzbe_tXpMRJ-EbRTsAnNQ"
"Rua df 217 Q. 26, Lt. 48 - Jardim Dom Fernando II, Goiânia - GO, 74765-260, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6662263","-49.1885966","Rua df 217 Q. 26, Lt. 48","ChIJe0h-8IjvXpMRQXiOr1gob_w","74765-260","14","47","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","GO","Rua df 217 Q. 26, Lt. 48","Restaurante Bom Sabor","4.7","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJe0h-8IjvXpMRQXiOr1gob_w"
"R. 30-A, 25 - St. Aeroporto, Goiânia - GO, 74075-340, Brasil","Restaurante self-service",,,,"Restaurante self-service","Goiânia","BR","false","-16.6717412","-49.2742426","R. 30-A, 25","ChIJczMLMvvzXpMRX1zExN-EHKQ","74075-340","5","298","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","R. 30-A, 25","Restaurante Marquim","4.4","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJczMLMvvzXpMRX1zExN-EHKQ"
"R. Sr. 36 - St. Recanto das Minas Gerais, Goiânia - GO, 74785-150, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6452417","-49.180868","R. Sr. 36","ChIJb5Q35sLtXpMR6hYq-9i5Crc","74785-150","15","66","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","Goiás","R. Sr. 36","Restaurante Tempero Da Samara","4.7","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJb5Q35sLtXpMR6hYq-9i5Crc"
"Restaurante, Delivery, Marmitex, Restaurante do sesc, Espaço para evento - Rua 4 n 310 Qd 55 Lt 09 - St. Central, Goiânia - GO, 74020-060, Brasil","Restaurante self-service",,,,"Restaurante self-service","Goiânia","BR","false","-16.672697","-49.2554939","Restaurante, Delivery, Marmitex, Restaurante do sesc, Espaço para evento - Rua 4 n 310 Qd 55 Lt 09","ChIJG02oa9jzXpMRmEvl9LCA5WI","74020-060","6","1258","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","GO","Restaurante, Delivery, Marmitex, Restaurante do sesc, Espaço para evento - Rua 4 n 310 Qd 55 Lt 09","Restaurante Center Grill","4.4","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJG02oa9jzXpMRmEvl9LCA5WI"
